links,names,address,ratings,price for two,cuisine
https://www.zomato.com/pune/atmosphere-6-viman-nagar/info,Atmosphere 6/,N/A,4.2,"₹2,000 for two","North Indian, Continental, Chinese, Salad, Oriental"
https://www.zomato.com/pune/persian-darbar-camp-area/info,Persian Darbar/,N/A,4.5,"₹1,200 for two","North Indian, Mughlai, Kebab, Biryani, Seafood, Chinese, Desserts, Beverages"
https://www.zomato.com/pune/allora-viman-nagar/info,Allora/,N/A,4.5,"₹2,000 for two","Pizza, Italian, Pasta"
https://www.zomato.com/pune/casa-del-queso-koregaon-park/info,Casa Del Queso/,N/A,4.5,"₹1,000 for two","Italian, Pizza, Fast Food"
https://www.zomato.com/pune/skol-shivaji-nagar/info,Skol/,N/A,4.4,"₹1,700 for two","North Indian, Continental, Oriental, Pizza, Asian, Finger Food, Desserts, Beverages"
https://www.zomato.com/pune/i-amsterdam-hinjawadi/info,I Amsterdam/,N/A,4.4,"₹1,700 for two","Asian, North Indian, European"
https://www.zomato.com/pune/boho-boho-1-koregaon-park/info,Boho Boho/,N/A,4.4,₹950 for two,"Continental, Healthy Food, Salad, Pizza, Sandwich, Desserts, Coffee, Beverages"
https://www.zomato.com/pune/bmg-unplugged-hadapsar/info,BMG - Unplugged/,N/A,4.3,"₹1,300 for two","Finger Food, Chinese, Continental, Pizza, Pasta, Oriental, Seafood, Beverages"
https://www.zomato.com/pune/marine-drive-resto-skybar-hinjawadi/info,Marine Drive Resto & Skybar/,N/A,New,"₹1,500 for two","Chinese, North Indian"
https://www.zomato.com/pune/prysm-hinjawadi/info,Prysm/,N/A,4.2,"₹1,800 for two","Asian, North Indian, Salad, Pasta, Pizza, Momos, Biryani, Mughlai"
https://www.zomato.com/pune/tgi-fridays-senapati-bapat-road/info,TGI Fridays/,N/A,4.2,"₹2,000 for two","American, Mexican, Pizza, Continental, Desserts, Beverages"
